period,zone,slope,SE,z,p,sig
full,All,-1.024904484519442e-5,3.1726333453351857e-7,-32.30453610488551,6.040609138944433e-229,***
full,Cold,-5.571506596939854e-6,6.957296709005811e-7,-8.008148609973563,1.1644813907185551e-15,***
full,Intermediate,-1.072178140470164e-5,4.0399573335670114e-7,-26.539343164881956,3.409232521809773e-155,***
full,Warm,-1.43439511542574e-5,6.906115934934012e-7,-20.769925221932226,8.09842718738088e-96,***
