Zone,N_sites,Moran_I,P_value
All,3340,0.05880516580302083,2.391631651620981e-16
Cold,661,0.05220919831501371,4.032324547745565e-4
Intermediate,1951,0.048184468594926186,1.3710852842746465e-7
Warm,728,-0.01727074505616617,0.8469145909461636
