Zone,AIC,BIC,R2_marginal,R2_conditional
All,60508.627111538575,60683.050618463094,0.012564354106472775,0.10215708404725883
Cold,7475.146957548743,7605.944279091827,0.009355747298721885,0.11875625711965694
Intermediate,31709.73265539606,31870.14346818355,0.010510684714347858,0.08476114031518354
Warm,21304.890242494377,21457.954660258314,0.02435064357680099,0.10072942484203892
