Zone,N_full,N_trim,Trim_prop,R2m_full,R2c_full,R2m_trim,R2c_trim,AIC_full,AIC_trim
All,29908,29608,0.010030761000401234,0.012564354106472775,0.10215708404725883,0.009615891224649599,0.0918199382802079,60508.627111538575,49365.39211110058
Cold,3746,3708,0.010144153764014896,0.009355747298721885,0.11875625711965694,0.014516474664039946,0.17106915233211795,7475.146957548743,6174.80700402651
Intermediate,15346,15192,0.010035188322689903,0.010510684714347858,0.08476114031518354,0.012359604933604601,0.09395833279715,31709.73265539606,25904.499805120013
Warm,10816,10707,0.010077662721893477,0.02435064357680099,0.10072942484203892,0.020024919145293366,0.08847647288762917,21304.890242494377,17304.2398512106
