period,zone,slope,SE,z,p,sig
full,All,-0.007563900922161517,9.075985628108362e-4,-8.333971903543002,7.8174484485807e-17,***
full,Cold,-0.0025261660555814243,0.002533852949001821,-0.9969663222076778,0.3187808571914291,
full,Intermediate,-0.010454734083793204,0.001125445124786469,-9.289421450714253,1.5512923897948385e-20,***
full,Warm,-0.002791825693362989,0.0018908043275758456,-1.476528085242073,0.13980218139573206,
