period,zone,slope,SE,z,p,sig
full,All,-1.024904503600739e-5,3.1726337477874603e-7,-32.30453260845156,6.0412921209547046e-229,***
full,Cold,-5.5715066131513395e-6,6.957296315289144e-7,-8.008149086459873,1.1644768800527648e-15,***
full,Intermediate,-1.072178145162235e-5,4.039957137058015e-7,-26.53934457193322,3.4091050356520615e-155,***
full,Warm,-1.434395124753536e-5,6.906115440318684e-7,-20.769926844538027,8.098153633874688e-96,***
