Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-0.00360769351858609,0.0029572412216075194,2.0022382541543946,-1.2199523976015025,0.3466958027325983,All
mean_temp_z,7.223881494694449e-4,0.0022149090362759394,9.75111698781628,0.3261479986934541,0.7512038651746888,All
slope_temp_z,-0.004912401633555228,0.0015142389755736653,632.4188458618277,-3.2441389455678076,0.0012401241386530246,All
mean_flow_z,-1.8963901835415768e-4,0.001458303808166912,296.762308505117,-0.13004081679834187,0.8966222336996479,All
mean_organic_z,-0.0019898876685442474,0.0017563607511892087,454.85714320534004,-1.1329606786059871,0.25782760259734727,All
mean_salinity_z,-0.0010351864639446431,0.0015685697538374624,2629.799062385626,-0.6599556452061428,0.5093400872698981,All
HFP_mean_z,-0.001119092486452776,0.0017743885953973705,923.7711186603739,-0.6306918841541346,0.5283980019044983,All
elevation_z,0.0032461180828906163,0.0016513964049558049,105.5340229320928,1.9656807252026747,0.05196285220221985,All
