Zone,AIC,BIC,R2_marginal,R2_conditional
All,-6482.73881,-6417.597928,0.007845045,0.012955052
Cold,-790.7216537,-747.9135674,0.034392878,0.178716506
Intermediate,-4007.075067,-3947.041365,0.006775564,0.006806561
Warm,-1543.090964,-1493.643043,0.027758211,0.03158069
