Zone,N_sites,Moran_I,P_value
All,2757,0.019280665167231145,0.007038251674883973
Cold,362,-0.026551577699127735,0.8677666280093664
Intermediate,1733,0.018351669285809443,0.029422510315330837
Warm,662,-3.945007983320656e-4,0.4726471843896056
