Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),0.020815431258284684,0.010112511318466461,69.99083101004068,2.05838397631987,0.043277862459876214,Warm
mean_temp_z,-0.020997059287087266,0.009284379392933499,478.55408487639215,-2.261546884121139,0.02417340176029614,Warm
slope_temp_z,-0.0038645973888193383,0.0023268017919675587,364.90250194934197,-1.6609052830200073,0.09759139806701116,Warm
mean_flow_z,0.004726339151968573,0.003067303265006325,653.7869912934785,1.5408776842803729,0.12383040274128022,Warm
mean_organic_z,-0.008195942951094003,0.004658254153491807,544.3906178158924,-1.7594452086626404,0.07906359159409897,Warm
mean_salinity_z,-0.0029480010104008278,0.002330813874053284,474.4193678028966,-1.264794689622409,0.2065658704054386,Warm
HFP_mean_z,1.7122699854118828e-4,0.003307581941504185,264.006305032936,0.05176802920363013,0.958752677584269,Warm
elevation_z,0.004671786436466117,0.0037649894294463737,653.7317166237403,1.2408498148567404,0.21510633933421303,Warm
