Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-0.17447710535683322,0.12419679447462129,238.5360004329045,-1.4048438697223087,0.16136859730834058,Cold
mean_temp_z,0.007749948508825626,0.014331136371516454,35.004771428861126,0.5407769703614622,0.59208613344004,Cold
slope_temp_z,-0.022140623241751648,0.009105875748684916,317.0401759741326,-2.431465556176651,0.015591559079628284,Cold
mean_flow_z,-0.003777439704268125,0.00509619319931449,351.8552818508248,-0.7412277275469549,0.4590497836758146,Cold
mean_organic_z,-0.22084695430969614,0.1425367310584858,299.3465503403833,-1.5494038110013764,0.12234122905443984,Cold
mean_salinity_z,0.002466443482248879,0.10151809189474195,253.00756570429965,0.02429560520903197,0.980635969419821,Cold
HFP_mean_z,0.0036957457982486164,0.005653437954596746,342.101448201539,0.6537165222170074,0.5137336110561662,Cold
elevation_z,0.00860004255861568,0.004430371026649106,143.59996185956842,1.9411562839512988,0.054197753109635205,Cold
