Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-1.0498998687348782e-5,3.786155092596191e-6,2.5111080231513894,-2.772997521385092,0.08480575765648826,All
mean_temp_z,1.5372437948207221e-6,8.454847679470131e-7,415.5459787125466,1.8181803541575592,0.06975640418637709,All
slope_temp_z,-1.7341626257849866e-6,2.7443072174700235e-7,119504.51756572827,-6.319127154370533,2.639671084419135e-10,All
mean_flow_z,-1.3322300832068352e-6,2.77995585791535e-7,50855.349222598954,-4.79227063772824,1.6536896207466741e-6,All
mean_organic_z,-2.6408231727804646e-6,3.2810015585028774e-7,115237.40891983784,-8.048832424162192,8.437539667135615e-16,All
mean_salinity_z,-5.177004991929117e-7,2.805682789061781e-7,111532.81944753743,-1.8451854258479108,0.06501321900886876,All
HFP_mean_z,-8.447151256336783e-7,3.3502864739154915e-7,120170.45019473732,-2.521322078605585,0.011692760767902438,All
elevation_z,9.049818006465053e-7,3.841697709236249e-7,1601.1676581145994,2.355681964436553,0.018608746646347086,All
