Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-1.3171023774181859e-5,3.2997100114152866e-6,11.26419299041167,-3.9915700860429983,0.002020941034496859,Warm
mean_temp_z,6.201143824558641e-6,2.2836280200182866e-6,248.98733252431475,2.7154789528764773,0.00708140592058487,Warm
slope_temp_z,1.8782616081571525e-6,4.511356844479951e-7,15376.145453536838,4.163407313822611,3.152416867894655e-5,Warm
mean_flow_z,-4.020041395967131e-7,6.178328207974642e-7,5610.229801294543,-0.6506681517466627,0.515287372080246,Warm
mean_organic_z,4.4420715668007554e-7,9.383207260176286e-7,9525.59583681866,0.47340652760102203,0.6359340222449326,Warm
mean_salinity_z,-7.175973658653805e-7,4.484614491740141e-7,9698.335629948493,-1.6001316661377845,0.10960194952812635,Warm
HFP_mean_z,-7.302508156144562e-7,7.018255364885332e-7,2445.8987198324403,-1.0405019162855547,0.2982096139342528,Warm
elevation_z,1.6658201281496281e-6,8.252827542511313e-7,101.08325419478494,2.0184841129525455,0.046189579678880495,Warm
