Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-1.1589280122848329e-5,4.1403131968852324e-6,3.2918769102497305,-2.799131266583159,0.06104067734759971,Intermediate
mean_temp_z,1.1034972145369568e-6,1.325942075798052e-6,2097.5633292850794,0.8322363658855829,0.4053702791745859,Intermediate
slope_temp_z,-3.926928318646354e-6,4.01878819672475e-7,25290.575808518242,-9.77142393780976,1.636910099024294e-22,Intermediate
mean_flow_z,-1.9869776008039023e-6,4.000484840203373e-7,15306.669280213237,-4.96684197084194,6.878558531777888e-7,Intermediate
mean_organic_z,-2.501305437381304e-6,4.0497369935362956e-7,24548.77516014685,-6.176463907097147,6.658206277881599e-10,Intermediate
mean_salinity_z,-3.369559194266878e-7,4.2158069644319244e-7,24007.318082057944,-0.7992679035580375,0.42414299316556514,Intermediate
HFP_mean_z,-9.5398210790274e-7,4.953069813622763e-7,25352.747700457614,-1.9260421189278185,0.054110282931911904,Intermediate
elevation_z,2.359217535828871e-6,6.640105218818676e-7,729.8624023052969,3.55298215628064,4.0538743929497784e-4,Intermediate
