Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),4.665566038965357e-6,6.478646223322538e-6,21.86466421972771,0.720145209066941,0.4790641232705446,Cold
mean_temp_z,3.92506104564537e-6,9.905490261415858e-7,39.05646856717601,3.962510630023409,3.0578469978232407e-4,Cold
slope_temp_z,-8.953807719933043e-7,4.3759394991076516e-7,56.9140018184827,-2.046145227044139,0.04537213717587524,Cold
mean_flow_z,-5.612402930890804e-7,2.707882877067591e-7,57.14657218167609,-2.0726165737893965,0.04272922119390209,Cold
mean_organic_z,2.590151213837051e-6,8.637414651195928e-6,39.31861101190056,0.299875751996973,0.7658516146231228,Cold
mean_salinity_z,5.8324518723241015e-6,5.288409558853063e-6,56.07415365618459,1.1028744667780663,0.2747925654022452,Cold
HFP_mean_z,-1.7511221874345893e-7,3.273032443605435e-7,57.05195960897536,-0.5350152244459963,0.5947185802644899,Cold
elevation_z,6.831916491968995e-7,2.9204244906066244e-7,10.49862434787092,2.3393573482017622,0.04024909378453,Cold
