Zone,N_sites,Moran_I,P_value
All,3402,0.2079252509715183,1.3690165846043353e-186
Cold,670,0.07435278674570923,6.965038083334589e-7
Intermediate,2002,0.20627980967669365,1.396442250209909e-111
Warm,730,0.1543152257276578,5.4480551985637675e-25
