grp,var1,var2,vcov,sdcor,Zone
HYBAS_ID,(Intercept),NA,2.8941587991804228e-11,5.379738654600633e-6,All
Protocol,(Intercept),NA,5.445019003207407e-11,7.379037202242178e-6,All
Residual,NA,NA,2.025815330375207e-10,1.423311396137615e-5,All
