grp,var1,var2,vcov,sdcor,Zone
HYBAS_ID,(Intercept),NA,1.0379045412781773e-11,3.2216525903302753e-6,Warm
Protocol,(Intercept),NA,8.815560739481602e-12,2.9691009985316433e-6,Warm
Residual,NA,NA,1.9705805929039973e-10,1.4037736971834161e-5,Warm
