Zone,N_full,N_trim,Trim_prop,R2m_full,R2c_full,R2m_trim,R2c_trim,AIC_full,AIC_trim
All,5215,5162,0.010162991371045038,0.021662079528698745,0.09079000202524869,0.026692830209684264,0.11246846497804328,-550.1987469542637,-3632.1026172030924
Cold,1073,1062,0.010251630941286116,0.019214569462168155,0.24375977899475704,0.01018762711841578,0.26806608581357877,-666.1198224191684,-1186.9563885035789
Intermediate,3079,3048,0.01006820396232544,0.024217061365426503,0.02622636504330643,0.030617095363211853,0.03061709536325356,-36.12038139089118,-2020.4630653173872
Warm,1063,1052,0.010348071495766664,0.05453619712480977,0.10469133026645909,0.06225292491676213,0.09707144092358962,143.04961833669626,-377.46221328257167
