Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),-0.5898904153872733,0.2609510078172146,991.4041672847885,-2.260540859073697,0.024003884062036785,Cold
Period_bin,0.5803609364271247,0.31157365453695124,915.5502706877625,1.8626765388416258,0.0628278882440684,Cold
mean_temp_z,0.004886415612878531,0.033119563447382754,336.6252879724227,0.14753864798494726,0.8827952051683554,Cold
sen_temp_z,0.01998650707965395,0.024535969065250622,963.1199866290485,0.8145798939712593,0.4155141883638547,Cold
mean_Q_z,-0.018206596031525094,0.009322358769619569,1052.5551860719922,-1.9530031488230395,0.05108393061248428,Cold
mean_organic_z,-1.0009086986573328,0.3539270979704647,969.2250097703869,-2.828008096573772,0.0047803692709055354,Cold
mean_salinity_z,0.43075834468928037,0.20856925456502193,1042.3137134977596,2.0653012621042404,0.03914129779113774,Cold
HFP_period_z,-0.0011283860552566151,0.0110270022599171,1056.7003576900936,-0.10232935739555188,0.918514668307215,Cold
elevation_z,0.00538325627519666,0.00895815001061265,384.09528649911704,0.6009339281904366,0.5482384440674586,Cold
Period_bin:mean_temp_z,0.006887483064956103,0.028252364508118286,678.7906084740266,0.24378430566323014,0.8074715362701083,Cold
Period_bin:sen_temp_z,-0.00824062180982738,0.02736822806631889,995.3289472712228,-0.30110176624729396,0.7633997827467274,Cold
Period_bin:mean_Q_z,0.007911346284443952,0.012335975785547697,613.502999513182,0.6413231042259785,0.521552289380196,Cold
Period_bin:mean_organic_z,0.8718525821825889,0.4206865006489194,871.3195505116469,2.0724520060371194,0.03851688760850964,Cold
Period_bin:mean_salinity_z,-0.24301671492282403,0.25451889277500556,775.1062888502498,-0.9548081569632262,0.3399723987555502,Cold
Period_bin:HFP_period_z,-0.0016553123804091084,0.015250021631885154,704.6968896745557,-0.10854492015592535,0.9135943483874243,Cold
Period_bin:elevation_z,-0.009185727497350622,0.010461922671224956,612.6223706385806,-0.8780152354419086,0.3802796611199899,Cold
