Zone,N_sites,Moran_I,P_value
All,3346,0.03453776147958686,8.077362621408604e-7
Cold,664,-0.014146960294028574,0.7873226010935164
Intermediate,1954,0.059861577160350475,7.760108545655013e-11
Warm,728,-0.011886569546876783,0.7509338868779571
